date,price
21-07-2021,87.02
20-07-2021,130.64999999999998
19-07-2021,170.23
18-07-2021,118.09
17-07-2021,54.36
16-07-2021,86.12
15-07-2021,113.66
14-07-2021,71.01
13-07-2021,79.64999999999999
12-07-2021,77.57
11-07-2021,125.22000000000001
10-07-2021,144.52999999999997
09-07-2021,141.47
08-07-2021,32.41
07-07-2021,146.93
06-07-2021,161.17000000000002
05-07-2021,189.85000000000002
04-07-2021,90.10000000000001
03-07-2021,94.37
02-07-2021,93.79
01-07-2021,114.6
30-06-2021,114.53
29-06-2021,125.03
28-06-2021,205.10000000000002
27-06-2021,149.75
26-06-2021,41.93
25-06-2021,120.03000000000002
24-06-2021,92.87
23-06-2021,69.33
22-06-2021,257.38
21-06-2021,321.93999999999994
20-06-2021,234.82
19-06-2021,54.949999999999996
18-06-2021,186.27999999999997
17-06-2021,225.83999999999997
16-06-2021,22.01
15-06-2021,161.73
14-06-2021,167.26000000000002
13-06-2021,106.72000000000001
12-06-2021,136.32999999999998
11-06-2021,114.77
10-06-2021,98.47
09-06-2021,124.16999999999999
08-06-2021,46.89
07-06-2021,49.64
06-06-2021,227.72999999999996
05-06-2021,200.32000000000002
04-06-2021,124.85000000000001
03-06-2021,195.45000000000002
02-06-2021,140.65
01-06-2021,255.33000000000004
31-05-2021,137.67
30-05-2021,175.73000000000002
29-05-2021,116.6
28-05-2021,118.58
27-05-2021,176.6
26-05-2021,198.31
25-05-2021,131.57
24-05-2021,244.92
23-05-2021,53.61
22-05-2021,22.6
21-05-2021,79.1
20-05-2021,132.23999999999998
19-05-2021,214.35
18-05-2021,252.83999999999997
17-05-2021,134.08999999999997
16-05-2021,105.50999999999999
15-05-2021,197.46
14-05-2021,396.64000000000004
13-05-2021,114.77999999999999
12-05-2021,148.53000000000003
11-05-2021,92.19
10-05-2021,168.9
09-05-2021,181.98000000000002
08-05-2021,248.48000000000002
07-05-2021,134.37
06-05-2021,152.32999999999998
05-05-2021,226.12
04-05-2021,121.4
03-05-2021,151.39
02-05-2021,117.19000000000001
01-05-2021,69.64
30-04-2021,111.62
29-04-2021,77.79
28-04-2021,134.34
27-04-2021,88.96000000000001
26-04-2021,165.74
25-04-2021,93.53999999999999
24-04-2021,104.02
23-04-2021,63.92
22-04-2021,104.88000000000001
21-04-2021,181.78
20-04-2021,154.09
19-04-2021,10.72
18-04-2021,72.94
17-04-2021,82.03999999999999
16-04-2021,48.510000000000005
15-04-2021,65.56
14-04-2021,133.5
13-04-2021,93.74000000000001
12-04-2021,23.25
11-04-2021,44.16
10-04-2021,22.07
09-04-2021,0.0
08-04-2021,46.08
07-04-2021,27.97
06-04-2021,15.55
05-04-2021,0.0
04-04-2021,22.79
03-04-2021,0.0
02-04-2021,0.0
01-04-2021,0.0
31-03-2021,0.0
30-03-2021,23.84
29-03-2021,0.0
28-03-2021,43.32
27-03-2021,0.0
26-03-2021,0.0
25-03-2021,0.0
24-03-2021,0.0
23-03-2021,0.0
22-03-2021,0.0
21-03-2021,0.0
20-03-2021,0.0
19-03-2021,0.0
18-03-2021,0.0
17-03-2021,0.0
16-03-2021,0.0
15-03-2021,0.0
14-03-2021,0.0
13-03-2021,0.0
12-03-2021,0.0
11-03-2021,0.0
10-03-2021,0.0
09-03-2021,0.0
08-03-2021,0.0
07-03-2021,0.0
06-03-2021,0.0
05-03-2021,0.0
04-03-2021,0.0
03-03-2021,0.0
02-03-2021,0.0
01-03-2021,0.0
28-02-2021,0.0
27-02-2021,0.0
26-02-2021,0.0
25-02-2021,0.0
24-02-2021,0.0
23-02-2021,0.0
22-02-2021,0.0
21-02-2021,0.0
20-02-2021,0.0
19-02-2021,0.0
18-02-2021,0.0
17-02-2021,0.0
16-02-2021,0.0
15-02-2021,0.0
14-02-2021,0.0
13-02-2021,0.0
12-02-2021,0.0
11-02-2021,0.0
10-02-2021,0.0
09-02-2021,0.0
08-02-2021,0.0
07-02-2021,0.0
06-02-2021,0.0
05-02-2021,0.0
04-02-2021,0.0
